module_guess,page_name,php_page,matching_js,likely_api_controller,risk_flags
root,about,about.php,,,
admission,admissions,admissions.php,js/pages/admissions.js,api/controllers/AdmissionController.php,placeholder
root,careers,careers.php,,,placeholder
root,contact,contact.php,,,placeholder
root,downloads,downloads.php,,,placeholder
root,event-detail,event-detail.php,,,placeholder
root,events,events.php,,api/controllers/EventsController.php,placeholder
root,forgot_password,forgot_password.php,,,placeholder
root,home,home.php,,,placeholder|mock|fallback
root,index,index.php,,,
root,job-detail,job-detail.php,,,placeholder
maintenance,maintenance,maintenance.php,,api/controllers/MaintenanceController.php,
root,news-article,news-article.php,,,
root,news,news.php,,,
academic,academic_calendar,pages/academic_calendar.php,js/pages/academic_calendar.js,api/controllers/AcademicController.php,
academic,academic_reports,pages/academic_reports.php,js/pages/academic_reports.js,api/controllers/AcademicController.php,
academic,academic_years,pages/academic_years.php,js/pages/academic_years.js,api/controllers/AcademicController.php,placeholder
pages,account_status,pages/account_status.php,,,placeholder
pages,active_sessions,pages/active_sessions.php,,,
activities,admin_activities,pages/activities/admin_activities.php,,api/controllers/ActivitiesController.php,placeholder
activities,manager_activities,pages/activities/manager_activities.php,,api/controllers/ActivitiesController.php,placeholder
activities,operator_activities,pages/activities/operator_activities.php,,api/controllers/ActivitiesController.php,placeholder
activities,viewer_activities,pages/activities/viewer_activities.php,,api/controllers/ActivitiesController.php,
pages,activity_audit_logs,pages/activity_audit_logs.php,,api/controllers/AuditController.php,placeholder
pages,add_results,pages/add_results.php,js/pages/add_results.js,,placeholder
pages,adjustments,pages/adjustments.php,js/pages/adjustments.js,,placeholder
admission,admission_interviews,pages/admission_interviews.php,js/pages/admission_interviews.js,api/controllers/AdmissionController.php,placeholder
admission,admission_status,pages/admission_status.php,,api/controllers/AdmissionController.php,
admissions,admin_admissions,pages/admissions/admin_admissions.php,,api/controllers/AdmissionController.php,
admissions,admissions_base,pages/admissions/admissions_base.php,,api/controllers/AdmissionController.php,placeholder
admissions,director_admissions,pages/admissions/director_admissions.php,,api/controllers/AdmissionController.php,
admissions,enrollment_confirmations,pages/admissions/enrollment_confirmations.php,,api/controllers/AdmissionController.php,
admissions,manager_admissions,pages/admissions/manager_admissions.php,,api/controllers/AdmissionController.php,
admissions,operator_admissions,pages/admissions/operator_admissions.php,,api/controllers/AdmissionController.php,
admissions,viewer_admissions,pages/admissions/viewer_admissions.php,,api/controllers/AdmissionController.php,
discipline,all_discipline_cases,pages/all_discipline_cases.php,,,
pages,all_lesson_plans,pages/all_lesson_plans.php,js/pages/all_lesson_plans.js,,placeholder
pages,all_parents,pages/all_parents.php,js/pages/all_parents.js,,placeholder
staff,all_staff,pages/all_staff.php,js/pages/all_staff.js,api/controllers/StaffAppointmentsController.php,
students,all_students,pages/all_students.php,,api/controllers/StudentsController.php,
pages,all_teachers,pages/all_teachers.php,js/pages/all_teachers.js,,placeholder
pages,api_explorer,pages/api_explorer.php,js/pages/api_explorer.js,,placeholder
pages,api_metrics,pages/api_metrics.php,,,placeholder
pages,assemblies,pages/assemblies.php,js/pages/assemblies.js,,placeholder
pages,assessment_overview,pages/assessment_overview.php,js/pages/assessment_overview.js,,placeholder
pages,assessments_exams,pages/assessments_exams.php,js/pages/assessments_exams.js,,placeholder|mock
pages,asset_purchases,pages/asset_purchases.php,js/pages/asset_purchases.js,,placeholder
pages,assign_class_teachers,pages/assign_class_teachers.php,,,
pages,assign_subjects_to_teachers,pages/assign_subjects_to_teachers.php,js/pages/assign_subjects_to_teachers.js,,placeholder
students,at_risk_students,pages/at_risk_students.php,js/pages/at_risk_students.js,api/controllers/StudentsController.php,
attendance,attendance_reports,pages/attendance_reports.php,js/pages/attendance_reports.js,api/controllers/AttendanceController.php,
attendance,attendance_trends,pages/attendance_trends.php,js/pages/attendance_trends.js,api/controllers/AttendanceController.php,placeholder
pages,audit_logs,pages/audit_logs.php,js/pages/audit_logs.js,api/controllers/AuditController.php,placeholder
auth,authentication_logs,pages/authentication_logs.php,,api/controllers/AuthController.php,placeholder
pages,background_jobs,pages/background_jobs.php,,,placeholder
pages,backups,pages/backups.php,js/pages/backups.js,,placeholder
pages,balances_by_class,pages/balances_by_class.php,js/pages/balances_by_class.js,,
pages,bank_accounts,pages/bank_accounts.php,js/pages/bank_accounts.js,api/controllers/AccountsController.php,placeholder
pages,bank_transactions,pages/bank_transactions.php,js/pages/bank_transactions.js,,placeholder
pages,behavior_logs,pages/behavior_logs.php,,,
boarding,admin_boarding,pages/boarding/admin_boarding.php,,api/controllers/BoardingController.php,placeholder
boarding,manager_boarding,pages/boarding/manager_boarding.php,,api/controllers/BoardingController.php,placeholder
